,Country Name,Country Code,Year,GDP (current US$)
8036,Djibouti,DJI,1990,452328087.282876
8037,Dominica,DMA,1990,201429629.62963
8038,Denmark,DNK,1990,138248216614.801
8039,Dominican Republic,DOM,1990,7073675544.79021
8040,Algeria,DZA,1990,62048505222.3414
8041,East Asia & Pacific (excluding high income),EAP,1990,667200070409.87
8042,Early-demographic dividend,EAR,1990,1860056796275.85
8043,East Asia & Pacific,EAS,1990,4738184774160.96
8044,Europe & Central Asia (excluding high income),ECA,1990,893030485494.276
8045,Europe & Central Asia,ECS,1990,8860001405151.17
8046,Ecuador,ECU,1990,15239278100.3502
8047,"Egypt, Arab Rep.",EGY,1990,42978914311.3504
8048,Euro area,EMU,1990,5880688023843.26
8050,Spain,ESP,1990,536558591250.408
8052,Ethiopia,ETH,1990,12175166763.285
8053,European Union,EUU,1990,6497762738132.14
8054,Fragile and conflict affected situations,FCS,1990,551342530427.43
8055,Finland,FIN,1990,141438345513.917
8056,Fiji,FJI,1990,1337017258.55191
8057,France,FRA,1990,1269179616913.63
8059,"Micronesia, Fed. Sts.",FSM,1990,147200000.0
8060,Gabon,GAB,1990,5952293765.84484
8061,United Kingdom,GBR,1990,1093213710428.01
8062,Georgia,GEO,1990,7753501867.76095
8063,Ghana,GHA,1990,5889174833.90034
8065,Guinea,GIN,1990,2666750820.49987
8066,"Gambia, The",GMB,1990,317083688.199874
8067,Guinea-Bissau,GNB,1990,243961995.512687
8068,Equatorial Guinea,GNQ,1990,112119411.508746
8069,Greece,GRC,1990,97891092003.4394
8070,Grenada,GRD,1990,278098762.962963
8071,Greenland,GRL,1990,1018977225.44427
8072,Guatemala,GTM,1990,7650196276.73508
8074,Guyana,GUY,1990,396582263.291139
8075,High income,HIC,1990,18985012664862.0
8076,"Hong Kong SAR, China",HKG,1990,76928784620.8158
8077,Honduras,HND,1990,4923009551.55642
8078,Heavily indebted poor countries (HIPC),HPC,1990,162560597218.284
8080,Haiti,HTI,1990,3096289800.0
8082,IBRD only,IBD,1990,3638437908431.41
8083,IDA & IBRD total,IBT,1990,4017383514929.53
8084,IDA total,IDA,1990,378625893677.557
8085,IDA blend,IDB,1990,146299168037.11
8086,Indonesia,IDN,1990,106140727356.675
8087,IDA only,IDX,1990,232630137929.561
8089,India,IND,1990,320979026420.035
8091,Ireland,IRL,1990,49305632408.4929
8092,"Iran, Islamic Rep.",IRN,1990,124813263926.225
8093,Iraq,IRQ,1990,180408064516.129
8094,Iceland,ISL,1990,6468739130.22964
8096,Italy,ITA,1990,1181222653522.95
8097,Jamaica,JAM,1990,4592208086.69235
8098,Jordan,JOR,1990,4160089597.13932
8099,Japan,JPN,1990,3132817652848.04
8100,Kazakhstan,KAZ,1990,26932729102.7371
8101,Kenya,KEN,1990,8572359162.86876
8102,Kyrgyz Republic,KGZ,1990,2675000000.0
8104,Kiribati,KIR,1990,42933307.6600826
8105,St. Kitts and Nevis,KNA,1990,217259259.259259
8106,"Korea, Rep.",KOR,1990,283367525714.932
8107,Kuwait,KWT,1990,18427777777.7778
8108,Latin America & Caribbean (excluding high income),LAC,1990,1037525767088.18
8109,Lao PDR,LAO,1990,865559879.284802
8110,Lebanon,LBN,1990,2838485353.96187
8112,Libya,LBY,1990,28904164239.3038
8113,St. Lucia,LCA,1990,579629629.62963
8114,Latin America & Caribbean,LCN,1990,1182388726802.35
8115,Least developed countries: UN classification,LDC,1990,183320992524.697
8116,Low income,LIC,1990,133152119892.907
8117,Liechtenstein,LIE,1990,1421508875.2782
8118,Sri Lanka,LKA,1990,8032551173.24014
8119,Lower middle income,LMC,1990,948098011389.765
8120,Low & middle income,LMY,1990,3826579677452.66
8121,Lesotho,LSO,1990,596410302.16263
8122,Late-demographic dividend,LTE,1990,2036712896681.06
8124,Luxembourg,LUX,1990,12778792853.6939
8126,"Macao SAR, China",MAC,1990,3246481368.16
8128,Morocco,MAR,1990,30179955995.515
8129,Monaco,MCO,1990,2481316053.85316
8131,Madagascar,MDG,1990,3931334870.6285
8132,Maldives,MDV,1990,215043969.849246
8133,Middle East & North Africa,MEA,1990,805603843643.189
8134,Mexico,MEX,1990,261253660211.684
8135,Marshall Islands,MHL,1990,78476000.0
8136,Middle income,MIC,1990,3697346151633.17
8137,North Macedonia,MKD,1990,4699646643.10954
8138,Mali,MLI,1990,2681912149.14767
8139,Malta,MLT,1990,2547163582.33149
8140,Myanmar,MMR,1990,2036373522.68939
8141,Middle East & North Africa (excluding high income),MNA,1990,507141220137.504
8143,Mongolia,MNG,1990,2560785660.0
8146,Mauritania,MRT,1990,1506914407.82047
8147,Mauritius,MUS,1990,2653485952.13319
8148,Malawi,MWI,1990,2737088195.94459
8149,Malaysia,MYS,1990,44024585239.6137
8150,North America,NAC,1990,6560825464840.25
8151,Namibia,NAM,1990,2789922033.09408
8152,New Caledonia,NCL,1990,2529440424.29422
8153,Niger,NER,1990,3512356508.47435
8154,Nigeria,NGA,1990,54035795387.8086
8155,Nicaragua,NIC,1990,1009455476.10732
8156,Netherlands,NLD,1990,318330511920.61
8157,Norway,NOR,1990,119791045690.118
8158,Nepal,NPL,1990,3627560281.90505
8160,New Zealand,NZL,1990,45495129385.0475
8161,OECD members,OED,1990,18803260663340.5
8162,Oman,OMN,1990,11685045513.6541
8163,Other small states,OSS,1990,54470069179.1872
8164,Pakistan,PAK,1990,40010423970.4576
8165,Panama,PAN,1990,6433967000.0
8166,Peru,PER,1990,26410386669.3532
8167,Philippines,PHL,1990,50508286641.5746
8169,Papua New Guinea,PNG,1990,3219730364.99623
8170,Poland,POL,1990,65977748210.5263
8171,Pre-demographic dividend,PRE,1990,394420886654.357
8172,Puerto Rico,PRI,1990,30603919000.0
8174,Portugal,PRT,1990,78713860216.5659
8175,Paraguay,PRY,1990,5812114523.01187
8177,Pacific island small states,PSS,1990,2354687132.6293
8178,Post-demographic dividend,PST,1990,18377400960323.7
8179,French Polynesia,PYF,1990,3320159522.5334
8180,Qatar,QAT,1990,7360439423.07692
8181,Romania,ROU,1990,38244330107.5469
8182,Russian Federation,RUS,1990,516814274021.956
8183,Rwanda,RWA,1990,2550185692.53721
8184,South Asia,SAS,1990,407066728402.152
8185,Saudi Arabia,SAU,1990,117630261604.888
8186,Sudan,SDN,1990,33641222222.2222
8187,Senegal,SEN,1990,7390967361.65927
8188,Singapore,SGP,1990,36144336768.7023
8189,Solomon Islands,SLB,1990,214877638.375504
8190,Sierra Leone,SLE,1990,649644812.644707
8191,El Salvador,SLV,1990,4817542204.0
8193,Somalia,SOM,1990,917044228.00846
8195,Sub-Saharan Africa (excluding high income),SSA,1990,375031690306.907
8197,Sub-Saharan Africa,SSF,1990,375424931159.041
8198,Small states,SST,1990,74906851774.9761
8200,Suriname,SUR,1990,388400000.0
8201,Slovak Republic,SVK,1990,12747380650.0762
8203,Sweden,SWE,1990,261846636897.068
8204,Eswatini,SWZ,1990,1114694112.47478
8206,Seychelles,SYC,1990,392163560.879912
8207,Syrian Arab Republic,SYR,1990,23904498886.4143
8209,Chad,TCD,1990,1738605558.05436
8210,East Asia & Pacific (IDA & IBRD countries),TEA,1990,666366770410.336
8211,Europe & Central Asia (IDA & IBRD countries),TEC,1990,1019407140680.24
8212,Togo,TGO,1990,2212905422.64086
8213,Thailand,THA,1990,85343189320.7519
8214,Tajikistan,TJK,1990,2629395066.27017
8215,Turkmenistan,TKM,1990,3189539641.3171
8216,Latin America & the Caribbean (IDA & IBRD countries),TLA,1990,1112474893935.63
8218,Middle East & North Africa (IDA & IBRD countries),TMN,1990,502614551355.261
8219,Tonga,TON,1990,113563821.577404
8220,South Asia (IDA & IBRD),TSA,1990,407066728402.152
8221,Sub-Saharan Africa (IDA & IBRD countries),TSS,1990,375424931159.041
8222,Trinidad and Tobago,TTO,1990,5068000000.0
8223,Tunisia,TUN,1990,12290568181.8182
8224,Turkiye,TUR,1990,150676194826.809
8225,Tuvalu,TUV,1990,8824746.23813152
8226,Tanzania,TZA,1990,4258742898.93795
8227,Uganda,UGA,1990,4304399314.79883
8228,Ukraine,UKR,1990,81393558423.4406
8229,Upper middle income,UMC,1990,2756767439045.53
8230,Uruguay,URY,1990,9298806525.099
8231,United States,USA,1990,5963144000000.0
8232,Uzbekistan,UZB,1990,13360607990.6751
8233,St. Vincent and the Grenadines,VCT,1990,240366666.666667
8234,"Venezuela, RB",VEN,1990,48606952194.7752
8237,Vietnam,VNM,1990,6471740805.56984
8238,Vanuatu,VUT,1990,168879207.244148
8239,World,WLD,1990,22861712031487.8
8240,Samoa,WSM,1990,125766269.755358
8242,"Yemen, Rep.",YEM,1990,5647119229.00763
8243,South Africa,ZAF,1990,126048148261.474
8244,Zambia,ZMB,1990,3285217391.30435
8245,Zimbabwe,ZWE,1990,8783816700.0
8246,Aruba,ABW,1991,872067039.106145
8247,Africa Eastern and Southern,AFE,1991,276856728335.501
8249,Africa Western and Central,AFW,1991,118039698015.641
8250,Angola,AGO,1991,12704558516.5916
8251,Albania,ALB,1991,1099559027.77778
8252,Andorra,AND,1991,1106891024.78653
8253,Arab World,ARB,1991,471800078473.107
8254,United Arab Emirates,ARE,1991,51552165622.4462
8255,Argentina,ARG,1991,189719984268.485
8256,Armenia,ARM,1991,2069870129.87013
8258,Antigua and Barbuda,ATG,1991,481707407.407407
8259,Australia,AUS,1991,325981640935.417
8260,Austria,AUT,1991,173794177961.108
8261,Azerbaijan,AZE,1991,5344000000.0
8262,Burundi,BDI,1991,1167398478.3459
8263,Belgium,BEL,1991,210510999409.333
8264,Benin,BEN,1991,1986437797.87672
8265,Burkina Faso,BFA,1991,3135045586.20845
8266,Bangladesh,BGD,1991,30957483949.5798
8267,Bulgaria,BGR,1991,10943548387.0968
8268,Bahrain,BHR,1991,4616223404.25532
8269,"Bahamas, The",BHS,1991,3111160000.0
8271,Belarus,BLR,1991,18000000000.0
8272,Belize,BLZ,1991,599000000.0
8273,Bermuda,BMU,1991,1634900000.0
8274,Bolivia,BOL,1991,5343261959.67632
8275,Brazil,BRA,1991,407729053018.907
8276,Barbados,BRB,1991,2020583702.08323
8277,Brunei Darussalam,BRN,1991,3701774188.88021
8278,Bhutan,BTN,1991,240294282.493958
8279,Botswana,BWA,1991,3942877353.59054
8280,Central African Republic,CAF,1991,1377374987.52052
8281,Canada,CAN,1991,612513895512.609
8282,Central Europe and the Baltics,CEB,1991,242591400512.371
8283,Switzerland,CHE,1991,268903256527.525
8285,Chile,CHL,1991,37835245155.9327
8286,China,CHN,1991,383373318083.624
8287,Cote d'Ivoire,CIV,1991,10492628587.8592
8288,Cameroon,CMR,1991,11840192304.4132
8289,"Congo, Dem. Rep.",COD,1991,9625436872.51075
8290,"Congo, Rep.",COG,1991,2724853507.64996
8291,Colombia,COL,1991,49637993948.8402
8292,Comoros,COM,1991,424108769.124465
8293,Cabo Verde,CPV,1991,319827058.592875
8294,Costa Rica,CRI,1991,7196276092.461
8295,Caribbean small states,CSS,1991,18032792661.6371
8296,Cuba,CUB,1991,24316556025.6585
8299,Cyprus,CYP,1991,5770197348.48485
8300,Czechia,CZE,1991,29859921158.8696
8301,Germany,DEU,1991,1868945197407.19
8302,Djibouti,DJI,1991,462421998.525779
8303,Dominica,DMA,1991,219762962.962963
8304,Denmark,DNK,1991,139225595726.802
8305,Dominican Republic,DOM,1991,9824483368.0088
8306,Algeria,DZA,1991,45715676428.2766
8307,East Asia & Pacific (excluding high income),EAP,1991,723660415505.293
8308,Early-demographic dividend,EAR,1991,1968877107462.78
8309,East Asia & Pacific,EAS,1991,5349238155317.49
8310,Europe & Central Asia (excluding high income),ECA,1991,868754964105.509
8311,Europe & Central Asia,ECS,1991,9139950356709.03
8312,Ecuador,ECU,1991,16988535267.6338
8313,"Egypt, Arab Rep.",EGY,1991,37387836490.5284
8314,Euro area,EMU,1991,6114122875186.22
8316,Spain,ESP,1991,577166174539.632
8318,Ethiopia,ETH,1991,13463868357.4879
8319,European Union,EUU,1991,6735921579249.33
8320,Fragile and conflict affected situations,FCS,1991,381531446738.909
8321,Finland,FIN,1991,127773856785.767
8322,Fiji,FJI,1991,1383883718.52673
8323,France,FRA,1991,1269276828275.78
8325,"Micronesia, Fed. Sts.",FSM,1991,166200000.0
8326,Gabon,GAB,1991,5402919788.23153
8327,United Kingdom,GBR,1991,1142766274398.22
8328,Georgia,GEO,1991,6357615894.03974
8329,Ghana,GHA,1991,6603130039.87292
8331,Guinea,GIN,1991,3015058205.58401
8332,"Gambia, The",GMB,1991,690311093.172052
8333,Guinea-Bissau,GNB,1991,257150374.069711
8334,Equatorial Guinea,GNQ,1991,110906028.612022
8335,Greece,GRC,1991,105143232379.884
8336,Grenada,GRD,1991,300757888.888889
8337,Greenland,GRL,1991,1016500016.28505
8338,Guatemala,GTM,1991,9406135143.41165
8340,Guyana,GUY,1991,348533094.812165
8341,High income,HIC,1991,20077019486047.5
8342,"Hong Kong SAR, China",HKG,1991,88960001715.744
8343,Honduras,HND,1991,4648668478.56753
8344,Heavily indebted poor countries (HIPC),HPC,1991,176588552457.85
8346,Haiti,HTI,1991,3473562850.28022
8347,Hungary,HUN,1991,34753569692.915
8348,IBRD only,IBD,1991,3517602600753.95
8349,IDA & IBRD total,IBT,1991,3915793184881.12
8350,IDA total,IDA,1991,398382717615.294
8351,IDA blend,IDB,1991,146920446197.126
8352,Indonesia,IDN,1991,116621996217.133
8353,IDA only,IDX,1991,252280312321.057
8355,India,IND,1991,270105341879.226
8357,Ireland,IRL,1991,49787501584.4847
8359,Iraq,IRQ,1991,407796349.663785
8360,Iceland,ISL,1991,6909725408.11499
8362,Italy,ITA,1991,1246220156079.29
8363,Jamaica,JAM,1991,4106207649.05547
8364,Jordan,JOR,1991,4344468256.71725
8365,Japan,JPN,1991,3584420964070.07
8366,Kazakhstan,KAZ,1991,24923076923.0769
8367,Kenya,KEN,1991,8151488881.9683
8368,Kyrgyz Republic,KGZ,1991,2569444444.44444
8370,Kiribati,KIR,1991,47516824.0066421
8371,St. Kitts and Nevis,KNA,1991,220540740.740741
8372,"Korea, Rep.",KOR,1991,330648530715.211
8373,Kuwait,KWT,1991,11010010088.22
8374,Latin America & Caribbean (excluding high income),LAC,1991,1096033508686.73
8375,Lao PDR,LAO,1991,1028087972.31085
8376,Lebanon,LBN,1991,4690415092.53663
8378,Libya,LBY,1991,31991785107.6288
8379,St. Lucia,LCA,1991,613703703.703704
8380,Latin America & Caribbean,LCN,1991,1255265130869.2
8381,Least developed countries: UN classification,LDC,1991,199242726122.473
8382,Low income,LIC,1991,150296897634.332
8383,Liechtenstein,LIE,1991,1484160643.69467
8384,Sri Lanka,LKA,1991,9000362581.58086
8385,Lower middle income,LMC,1991,881412281443.795
8386,Low & middle income,LMY,1991,3697670722944.61
8387,Lesotho,LSO,1991,704325366.718393
8388,Late-demographic dividend,LTE,1991,2039346669796.41
8390,Luxembourg,LUX,1991,13834219728.293
8392,"Macao SAR, China",MAC,1991,3765249711.09098
8394,Morocco,MAR,1991,32285573573.9185
8395,Monaco,MCO,1991,2480497538.54794
8397,Madagascar,MDG,1991,3254713056.02171
8398,Maldives,MDV,1991,244396761.92334
8399,Middle East & North Africa,MEA,1991,563853412811.686
8400,Mexico,MEX,1991,313139656145.745
8401,Marshall Islands,MHL,1991,82507000.0
8402,Middle income,MIC,1991,3553641933496.79
8403,North Macedonia,MKD,1991,4938775510.20408
8404,Mali,MLI,1991,2724131460.10827
8405,Malta,MLT,1991,2750041434.26295
8406,Myanmar,MMR,1991,2137184858.04416
8407,Middle East & North Africa (excluding high income),MNA,1991,262766643338.001
8409,Mongolia,MNG,1991,2379018326.31579
8411,Mozambique,MOZ,1991,3633488385.06275
8412,Mauritania,MRT,1991,2133692609.95576
8413,Mauritius,MUS,1991,2856889159.58616
8414,Malawi,MWI,1991,3206784402.38111
8415,Malaysia,MYS,1991,49143148094.2683
8416,North America,NAC,1991,6772277795512.61
8417,Namibia,NAM,1991,2996869281.48364
8418,New Caledonia,NCL,1991,2653780677.01073
8419,Niger,NER,1991,3285796877.19799
8420,Nigeria,NGA,1991,49118434950.4188
8421,Nicaragua,NIC,1991,1488804123.71134
8422,Netherlands,NLD,1991,327500327675.625
8423,Norway,NOR,1991,121871665528.423
8424,Nepal,NPL,1991,3921476084.89072
8426,New Zealand,NZL,1991,42744828653.3514
8427,OECD members,OED,1991,19902760618767.8
8428,Oman,OMN,1991,11341482444.7334
8429,Other small states,OSS,1991,56088598973.7755
8430,Pakistan,PAK,1991,45625336680.2047
8431,Panama,PAN,1991,7074675500.0
8432,Peru,PER,1991,34341465998.2003
8433,Philippines,PHL,1991,51784144314.5523
8435,Papua New Guinea,PNG,1991,3787394957.98319
8436,Poland,POL,1991,85500934319.1735
8437,Pre-demographic dividend,PRE,1991,211358138047.287
8438,Puerto Rico,PRI,1991,32287031000.0
8440,Portugal,PRT,1991,89233599278.4792
8441,Paraguay,PRY,1991,6984367762.90371
8443,Pacific island small states,PSS,1991,2500551872.054
8444,Post-demographic dividend,PST,1991,19390950004995.6
8445,French Polynesia,PYF,1991,3410078974.21418
8446,Qatar,QAT,1991,6883516483.51648
8447,Romania,ROU,1991,28851673544.9961
8448,Russian Federation,RUS,1991,517962962962.963
8449,Rwanda,RWA,1991,1911600232.09279
8450,South Asia,SAS,1991,362155183204.799
8451,Saudi Arabia,SAU,1991,132223257865.578
8452,Sudan,SDN,1991,44171194366.2039
8453,Senegal,SEN,1991,7255210474.43418
8454,Singapore,SGP,1991,45466164978.2923
8455,Solomon Islands,SLB,1991,227540473.340087
8456,Sierra Leone,SLE,1991,780098205.215036
8457,El Salvador,SLV,1991,5252342400.0
8461,Sub-Saharan Africa (excluding high income),SSA,1991,393057781842.081
8463,Sub-Saharan Africa,SSF,1991,393456869265.369
8464,Small states,SST,1991,76506139354.8274
8466,Suriname,SUR,1991,448100000.0
8467,Slovak Republic,SVK,1991,14272201755.4704
8469,Sweden,SWE,1991,274230545848.399
8470,Eswatini,SWZ,1991,1156135717.94598
8472,Seychelles,SYC,1991,398307144.759003
8473,Syrian Arab Republic,SYR,1991,27756258351.8931
8475,Chad,TCD,1991,1877137983.02923
8476,East Asia & Pacific (IDA & IBRD countries),TEA,1991,722756599317.845
8477,Europe & Central Asia (IDA & IBRD countries),TEC,1991,1005323422102.01
8478,Togo,TGO,1991,2177399825.45509
8479,Thailand,THA,1991,98234713407.7323
8480,Tajikistan,TJK,1991,2534720480.3244
8481,Turkmenistan,TKM,1991,3208098919.0146
8482,Latin America & the Caribbean (IDA & IBRD countries),TLA,1991,1187645180028.5
8484,Middle East & North Africa (IDA & IBRD countries),TMN,1991,260421226491.209
8485,Tonga,TON,1991,132201141.446861
8486,South Asia (IDA & IBRD),TSA,1991,362155183204.799
8487,Sub-Saharan Africa (IDA & IBRD countries),TSS,1991,393456869265.369
8488,Trinidad and Tobago,TTO,1991,5307905882.35294
8489,Tunisia,TUN,1991,13074782608.6957
8490,Turkiye,TUR,1991,151041399039.068
8491,Tuvalu,TUV,1991,9365488.11527636
8492,Tanzania,TZA,1991,4956587901.61865
8493,Uganda,UGA,1991,3321729157.61296
8494,Ukraine,UKR,1991,77350733982.4458
8495,Upper middle income,UMC,1991,2677432849078.89
8496,Uruguay,URY,1991,11206174799.5619
8497,United States,USA,1991,6158129000000.0
8498,Uzbekistan,UZB,1991,13677622222.2222
8499,St. Vincent and the Grenadines,VCT,1991,254829629.62963
8500,"Venezuela, RB",VEN,1991,53453444786.6256
8503,Vietnam,VNM,1991,9613369520.41885
8504,Vanuatu,VUT,1991,201334169.054441
8505,World,WLD,1991,23834453957464.6
8506,Samoa,WSM,1991,125597205.422315
8508,"Yemen, Rep.",YEM,1991,5930370370.37037
8509,South Africa,ZAF,1991,135203698237.977
8510,Zambia,ZMB,1991,3376806697.1218
8511,Zimbabwe,ZWE,1991,8641481700.0
8512,Aruba,ABW,1992,958659217.877095
8513,Africa Eastern and Southern,AFE,1992,246088124935.718
8515,Africa Western and Central,AFW,1992,118893094121.79
8516,Angola,AGO,1992,15114352005.3033
8517,Albania,ALB,1992,652174990.837304
8518,Andorra,AND,1992,1209992649.56688
8519,Arab World,ARB,1992,473811268023.86
8520,United Arab Emirates,ARE,1992,54239171887.769
8521,Argentina,ARG,1992,228778994288.214
8522,Armenia,ARM,1992,1272835453.42634
8524,Antigua and Barbuda,ATG,1992,499281481.481481
8525,Australia,AUS,1992,325532426233.227
8526,Austria,AUT,1992,195078126721.763
8527,Azerbaijan,AZE,1992,444658671.586716
8528,Burundi,BDI,1992,1083037670.60484
8529,Belgium,BEL,1992,234781652446.675
8530,Benin,BEN,1992,1695315305.70308
8531,Burkina Faso,BFA,1992,3356692508.3457
8532,Bangladesh,BGD,1992,31708874594.1645
8533,Bulgaria,BGR,1992,10350515463.9175
8534,Bahrain,BHR,1992,4751063829.78723
8535,"Bahamas, The",BHS,1992,3109000000.0
8537,Belarus,BLR,1992,17037037037.037
8538,Belize,BLZ,1992,693500000.0
8539,Bermuda,BMU,1992,1679900000.0
8540,Bolivia,BOL,1992,5643869230.99931
8541,Brazil,BRA,1992,390566561752.671
8542,Barbados,BRB,1992,1957000000.0
8543,Brunei Darussalam,BRN,1992,4183633796.47628
8544,Bhutan,BTN,1992,240233528.070813
8545,Botswana,BWA,1992,4146464586.61674
8546,Central African Republic,CAF,1992,1411917554.45482
8547,Canada,CAN,1992,594376087449.388
8548,Central Europe and the Baltics,CEB,1992,260007368667.584
8549,Switzerland,CHE,1992,279917776400.299
8551,Chile,CHL,1992,45964855773.9876
8552,China,CHN,1992,426915712715.856
8553,Cote d'Ivoire,CIV,1992,11152971284.4479
8554,Cameroon,CMR,1992,12071775346.4187
8555,"Congo, Dem. Rep.",COD,1992,8227343907.26679
8556,"Congo, Rep.",COG,1992,2933222705.7974
8557,Colombia,COL,1992,58394443348.9332
8558,Comoros,COM,1992,457388651.902444
8559,Cabo Verde,CPV,1992,357160985.327413
8560,Costa Rica,CRI,1992,8564041894.92938
8561,Caribbean small states,CSS,1992,17750354024.3223
8562,Cuba,CUB,1992,22085858243.2432
8565,Cyprus,CYP,1992,6912150456.32334
8566,Czechia,CZE,1992,34805013229.572
8567,Germany,DEU,1992,2131571696931.75
8568,Djibouti,DJI,1992,478058304.871118
8569,Dominica,DMA,1992,234059259.259259
8570,Denmark,DNK,1992,152914810032.913
8571,Dominican Republic,DOM,1992,11605382504.0
8572,Algeria,DZA,1992,48003133346.9957
8573,East Asia & Pacific (excluding high income),EAP,1992,811064516905.33
8574,Early-demographic dividend,EAR,1992,2163166983544.97
8575,East Asia & Pacific,EAS,1992,5844850958070.34
8576,Europe & Central Asia (excluding high income),ECA,1992,799090648379.373
8577,Europe & Central Asia,ECS,1992,9801538419939.59
8578,Ecuador,ECU,1992,18094238119.0595
8579,"Egypt, Arab Rep.",EGY,1992,41855986519.4235
8580,Euro area,EMU,1992,6745618204470.38
8581,Eritrea,ERI,1992,477101651.648376
8582,Spain,ESP,1992,630916018202.503
8584,Ethiopia,ETH,1992,10492993077.6093
8585,European Union,EUU,1992,7406344155354.12
8586,Fragile and conflict affected situations,FCS,1992,347676359980.34
8587,Finland,FIN,1992,112532519246.084
8588,Fiji,FJI,1992,1532411208.98387
8589,France,FRA,1992,1401465923172.24
8591,"Micronesia, Fed. Sts.",FSM,1992,178100000.0
8592,Gabon,GAB,1992,5592390832.66829
8593,United Kingdom,GBR,1992,1179713014951.83
8594,Georgia,GEO,1992,3690328963.64086
8595,Ghana,GHA,1992,6416079341.97329
8597,Guinea,GIN,1992,3284620421.84712
8598,"Gambia, The",GMB,1992,714254263.103249
8599,Guinea-Bissau,GNB,1992,226313443.749086
8600,Equatorial Guinea,GNQ,1992,134707183.973556
8601,Greece,GRC,1992,116224672863.783
8602,Grenada,GRD,1992,310160444.444444
8603,Greenland,GRL,1992,1037916105.23293
8604,Guatemala,GTM,1992,10440781587.5435
8606,Guyana,GUY,1992,373573141.486811
8607,High income,HIC,1992,21595262628678.4
8608,"Hong Kong SAR, China",HKG,1992,104272503148.988
8609,Honduras,HND,1992,4943700431.07368
8610,Heavily indebted poor countries (HIPC),HPC,1992,133058720157.94
8612,Haiti,HTI,1992,2257129873.67081
8613,Hungary,HUN,1992,38730585922.2189
8614,IBRD only,IBD,1992,3701861762943.06
8615,IDA & IBRD total,IBT,1992,4063636192649.12
8616,IDA total,IDA,1992,361568265924.165
8617,IDA blend,IDB,1992,147612421861.855
8618,Indonesia,IDN,1992,128026966579.964
8619,IDA only,IDX,1992,213915982271.234
8621,India,IND,1992,288208066640.584
8623,Ireland,IRL,1992,55918538121.3989
8625,Iraq,IRQ,1992,553671957.671958
8626,Iceland,ISL,1992,7080977636.41567
8628,Italy,ITA,1992,1320161644933.23
8629,Jamaica,JAM,1992,3535460089.80719
8630,Jordan,JOR,1992,5310830589.54476
8631,Japan,JPN,1992,3908808434705.26
8632,Kazakhstan,KAZ,1992,24917355371.9008
8633,Kenya,KEN,1992,8209120678.11342
8634,Kyrgyz Republic,KGZ,1992,2316562500.0
8636,Kiribati,KIR,1992,47736260.8309293
8637,St. Kitts and Nevis,KNA,1992,242137037.037037
8638,"Korea, Rep.",KOR,1992,355525267405.367
8639,Kuwait,KWT,1992,19858555214.7239
8640,Latin America & Caribbean (excluding high income),LAC,1992,1181392530141.94
8641,Lao PDR,LAO,1992,1127806944.61513
8642,Lebanon,LBN,1992,5843579160.90122
