,Country Name,Country Code,Year,CO2 Emissions (kt)
8159,Nauru,NRU,1990,126.3
8160,New Zealand,NZL,1990,22310.7
8161,OECD members,OED,1990,11344058.36
8162,Oman,OMN,1990,11919.3
8163,Other small states,OSS,1990,83923.170257
8164,Pakistan,PAK,1990,59026.0
8165,Panama,PAN,1990,2692.9
8166,Peru,PER,1990,20875.3
8167,Philippines,PHL,1990,40868.9
8169,Papua New Guinea,PNG,1990,2168.6
8170,Poland,POL,1990,350214.6
8171,Pre-demographic dividend,PRE,1990,187593.355181
8173,"Korea, Dem. People's Rep.",PRK,1990,119307.5
8174,Portugal,PRT,1990,41068.6
8175,Paraguay,PRY,1990,2072.2
8177,Pacific island small states,PSS,1990,1262.58
8178,Post-demographic dividend,PST,1990,11301942.62
8180,Qatar,QAT,1990,12543.4
8181,Romania,ROU,1990,172633.6
8182,Russian Federation,RUS,1990,2163533.1
8183,Rwanda,RWA,1990,536.36
8184,South Asia,SAS,1990,641292.09
8185,Saudi Arabia,SAU,1990,171403.3
8186,Sudan,SDN,1990,5365.69
8187,Senegal,SEN,1990,2326.3
8188,Singapore,SGP,1990,28970.0
8189,Solomon Islands,SLB,1990,152.9
8190,Sierra Leone,SLE,1990,318.0
8191,El Salvador,SLV,1990,2383.3
8193,Somalia,SOM,1990,735.12
8194,Serbia,SRB,1990,61906.5
8195,Sub-Saharan Africa (excluding high income),SSA,1990,401651.865181
8196,South Sudan,SSD,1990,433.885181
8197,Sub-Saharan Africa,SSF,1990,401805.065181
8198,Small states,SST,1990,112880.958354
8199,Sao Tome and Principe,STP,1990,46.5
8200,Suriname,SUR,1990,1759.988097
8201,Slovak Republic,SVK,1990,54811.8
8202,Slovenia,SVN,1990,13528.8
8203,Sweden,SWE,1990,53346.2
8204,Eswatini,SWZ,1990,1101.2
8206,Seychelles,SYC,1990,153.2
8207,Syrian Arab Republic,SYR,1990,32388.1
8209,Chad,TCD,1990,388.9
8210,East Asia & Pacific (IDA & IBRD countries),TEA,1990,2546780.356
8211,Europe & Central Asia (IDA & IBRD countries),TEC,1990,4381209.140257
8212,Togo,TGO,1990,977.6
8213,Thailand,THA,1990,88005.8
8214,Tajikistan,TJK,1990,11018.2
8215,Turkmenistan,TKM,1990,44646.3
8216,Latin America & the Caribbean (IDA & IBRD countries),TLA,1990,851765.808097
8218,Middle East & North Africa (IDA & IBRD countries),TMN,1990,532994.2
8219,Tonga,TON,1990,84.1
8220,South Asia (IDA & IBRD),TSA,1990,641292.09
8221,Sub-Saharan Africa (IDA & IBRD countries),TSS,1990,401805.065181
8222,Trinidad and Tobago,TTO,1990,13152.4
8223,Tunisia,TUN,1990,14671.9
8224,Turkiye,TUR,1990,139197.9
8225,Tuvalu,TUV,1990,6.4
8226,Tanzania,TZA,1990,1892.2
8227,Uganda,UGA,1990,785.735
8228,Ukraine,UKR,1990,688618.9
8229,Upper middle income,UMC,1990,6529915.428354
8230,Uruguay,URY,1990,3848.7
8231,United States,USA,1990,4844517.4
8232,Uzbekistan,UZB,1990,117767.7
8233,St. Vincent and the Grenadines,VCT,1990,82.6
8234,"Venezuela, RB",VEN,1990,101630.0
8237,Vietnam,VNM,1990,19327.9
8238,Vanuatu,VUT,1990,66.9
8239,World,WLD,1990,21284042.79
8240,Samoa,WSM,1990,89.0
8242,"Yemen, Rep.",YEM,1990,6642.3
8243,South Africa,ZAF,1990,247614.7
8244,Zambia,ZMB,1990,2740.8
8245,Zimbabwe,ZWE,1990,16535.5
8247,Africa Eastern and Southern,AFE,1991,300135.943094
8248,Afghanistan,AFG,1991,1941.37
8249,Africa Western and Central,AFW,1991,110559.9338
8250,Angola,AGO,1991,6674.5
8251,Albania,ALB,1991,4119.6
8252,Andorra,AND,1991,406.704
8253,Arab World,ARB,1991,634670.889
8254,United Arab Emirates,ARE,1991,61564.1
8255,Argentina,ARG,1991,105906.6
8256,Armenia,ARM,1991,20689.6
8258,Antigua and Barbuda,ATG,1991,221.4
8259,Australia,AUS,1991,264709.7
8260,Austria,AUT,1991,62423.2
8261,Azerbaijan,AZE,1991,52059.4
8262,Burundi,BDI,1991,229.6
8263,Belgium,BEL,1991,113960.1
8264,Benin,BEN,1991,273.51
8265,Burkina Faso,BFA,1991,599.6
8266,Bangladesh,BGD,1991,10830.76
8267,Bulgaria,BGR,1991,58826.5
8268,Bahrain,BHR,1991,10346.53
8269,"Bahamas, The",BHS,1991,2085.3
8270,Bosnia and Herzegovina,BIH,1991,21441.0
8271,Belarus,BLR,1991,96217.8
8272,Belize,BLZ,1991,441.6
8274,Bolivia,BOL,1991,10867.9
8275,Brazil,BRA,1991,205475.4
8276,Barbados,BRB,1991,1000.03
8277,Brunei Darussalam,BRN,1991,3384.5
8278,Bhutan,BTN,1991,182.8
8279,Botswana,BWA,1991,2734.7
8280,Central African Republic,CAF,1991,142.0
8281,Canada,CAN,1991,413298.6
8282,Central Europe and the Baltics,CEB,1991,916298.1
8283,Switzerland,CHE,1991,45666.8
8285,Chile,CHL,1991,29243.4
8286,China,CHN,1991,2302185.2
8287,Cote d'Ivoire,CIV,1991,2791.5
8288,Cameroon,CMR,1991,6966.2
8289,"Congo, Dem. Rep.",COD,1991,1737.9
8290,"Congo, Rep.",COG,1991,3193.42
8291,Colombia,COL,1991,51098.7
8292,Comoros,COM,1991,68.7
8293,Cabo Verde,CPV,1991,169.8
8294,Costa Rica,CRI,1991,3061.6
8295,Caribbean small states,CSS,1991,27978.372072
8296,Cuba,CUB,1991,27418.0
8299,Cyprus,CYP,1991,5109.0
8300,Czechia,CZE,1991,139757.1
8301,Germany,DEU,1991,932548.1
8302,Djibouti,DJI,1991,288.2
8303,Dominica,DMA,1991,62.7
8304,Denmark,DNK,1991,62700.3
8305,Dominican Republic,DOM,1991,8229.6
8306,Algeria,DZA,1991,66428.5
8307,East Asia & Pacific (excluding high income),EAP,1991,2823141.84
8308,Early-demographic dividend,EAR,1991,2739316.112072
8309,East Asia & Pacific,EAS,1991,4523221.24
8310,Europe & Central Asia (excluding high income),ECA,1991,3730906.740692
8311,Europe & Central Asia,ECS,1991,7846626.453843
8312,Ecuador,ECU,1991,15740.3
8313,"Egypt, Arab Rep.",EGY,1991,89369.5
8314,Euro area,EMU,1991,2641358.7
8316,Spain,ESP,1991,222099.7
8317,Estonia,EST,1991,31869.2
8318,Ethiopia,ETH,1991,2333.1
8319,European Union,EUU,1991,3530556.1
8320,Fragile and conflict affected situations,FCS,1991,1011796.297094
8321,Finland,FIN,1991,55132.7
8322,Fiji,FJI,1991,721.15
8323,France,FRA,1991,380691.3
8326,Gabon,GAB,1991,4556.56
8327,United Kingdom,GBR,1991,570681.6
8328,Georgia,GEO,1991,25505.9
8329,Ghana,GHA,1991,2257.2
8331,Guinea,GIN,1991,1024.9
8332,"Gambia, The",GMB,1991,198.1
8333,Guinea-Bissau,GNB,1991,173.1
8334,Equatorial Guinea,GNQ,1991,72.6
8335,Greece,GRC,1991,75818.0
8336,Grenada,GRD,1991,121.8
8338,Guatemala,GTM,1991,4034.7
8340,Guyana,GUY,1991,1144.2
8341,High income,HIC,1991,11426219.563151
8343,Honduras,HND,1991,2454.6
8344,Heavily indebted poor countries (HIPC),HPC,1991,61800.5628
8345,Croatia,HRV,1991,14744.9
8346,Haiti,HTI,1991,1001.6
8347,Hungary,HUN,1991,64552.2
8348,IBRD only,IBD,1991,9042337.602764
8349,IDA & IBRD total,IBT,1991,9481601.569658
8350,IDA total,IDA,1991,439263.966894
8351,IDA blend,IDB,1991,298836.77
8352,Indonesia,IDN,1991,162314.5
8353,IDA only,IDX,1991,140427.196894
8355,India,IND,1991,607224.0
8357,Ireland,IRL,1991,31466.7
8358,"Iran, Islamic Rep.",IRN,1991,219101.2
8359,Iraq,IRQ,1991,45545.1
8360,Iceland,ISL,1991,1913.98
8361,Israel,ISR,1991,34523.6
8362,Italy,ITA,1991,404074.1
8363,Jamaica,JAM,1991,7405.3
8364,Jordan,JOR,1991,9781.2
8365,Japan,JPN,1991,1103961.3
8366,Kazakhstan,KAZ,1991,246366.0
8367,Kenya,KEN,1991,6017.7
8368,Kyrgyz Republic,KGZ,1991,20422.9
8369,Cambodia,KHM,1991,1304.384
8370,Kiribati,KIR,1991,24.7
8371,St. Kitts and Nevis,KNA,1991,115.3
8372,"Korea, Rep.",KOR,1991,274792.7
8373,Kuwait,KWT,1991,7823.39
8374,Latin America & Caribbean (excluding high income),LAC,1991,760924.142072
8375,Lao PDR,LAO,1991,545.936
8376,Lebanon,LBN,1991,7039.89
8377,Liberia,LBR,1991,374.5198
8378,Libya,LBY,1991,28821.6
8379,St. Lucia,LCA,1991,200.8
8380,Latin America & Caribbean,LCN,1991,916268.072072
8381,Least developed countries: UN classification,LDC,1991,65774.496894
8382,Low income,LIC,1991,177458.756894
8383,Liechtenstein,LIE,1991,206.329151
8384,Sri Lanka,LKA,1991,3985.4
8385,Lower middle income,LMC,1991,2154972.12
8386,Low & middle income,LMY,1991,8960270.369658
8387,Lesotho,LSO,1991,1447.7
8388,Late-demographic dividend,LTE,1991,6305399.720692
8389,Lithuania,LTU,1991,34291.0
8390,Luxembourg,LUX,1991,11753.4
8391,Latvia,LVA,1991,17201.5
8394,Morocco,MAR,1991,23119.0
8396,Moldova,MDA,1991,24599.5
8397,Madagascar,MDG,1991,952.69
8398,Maldives,MDV,1991,159.6
8399,Middle East & North Africa,MEA,1991,884064.01
8400,Mexico,MEX,1991,287995.8
8402,Middle income,MIC,1991,8782811.612764
8403,North Macedonia,MKD,1991,8383.7
8404,Mali,MLI,1991,441.298
8405,Malta,MLT,1991,2210.6
8406,Myanmar,MMR,1991,4015.2
8407,Middle East & North Africa (excluding high income),MNA,1991,548964.99
8408,Montenegro,MNE,1991,1355.040692
8409,Mongolia,MNG,1991,14758.07
8411,Mozambique,MOZ,1991,936.09
8412,Mauritania,MRT,1991,863.0
8413,Mauritius,MUS,1991,1251.6
8414,Malawi,MWI,1991,792.02
8415,Malaysia,MYS,1991,65096.2
8416,North America,NAC,1991,5220795.1
8417,Namibia,NAM,1991,1117.9
8419,Niger,NER,1991,536.726
8420,Nigeria,NGA,1991,81926.1
8421,Nicaragua,NIC,1991,1919.1
8422,Netherlands,NLD,1991,157266.8
8423,Norway,NOR,1991,27325.3
8424,Nepal,NPL,1991,1182.25
8425,Nauru,NRU,1991,126.6
8426,New Zealand,NZL,1991,22629.7
8427,OECD members,OED,1991,11389105.28
8428,Oman,OMN,1991,15720.9
8429,Other small states,OSS,1991,84903.210692
8430,Pakistan,PAK,1991,60305.8
8431,Panama,PAN,1991,3124.7
8432,Peru,PER,1991,20266.6
8433,Philippines,PHL,1991,40442.2
8435,Papua New Guinea,PNG,1991,2176.4
8436,Poland,POL,1991,351624.9
8437,Pre-demographic dividend,PRE,1991,179937.336894
8439,"Korea, Dem. People's Rep.",PRK,1991,112936.2
8440,Portugal,PRT,1991,42767.7
8441,Paraguay,PRY,1991,2020.3
8443,Pacific island small states,PSS,1991,1294.15
8444,Post-demographic dividend,PST,1991,11261858.73
8446,Qatar,QAT,1991,14985.0
8447,Romania,ROU,1991,142755.2
8448,Russian Federation,RUS,1991,2136444.3
8449,Rwanda,RWA,1991,481.45
8450,South Asia,SAS,1991,685811.98
8451,Saudi Arabia,SAU,1991,187924.9
8452,Sudan,SDN,1991,4803.48
8453,Senegal,SEN,1991,2334.7
8454,Singapore,SGP,1991,30474.9
8455,Solomon Islands,SLB,1991,160.0
8456,Sierra Leone,SLE,1991,342.3
8457,El Salvador,SLV,1991,3066.3
8459,Somalia,SOM,1991,707.099
8460,Serbia,SRB,1991,52202.4
8461,Sub-Saharan Africa (excluding high income),SSA,1991,410520.676894
8462,South Sudan,SSD,1991,406.424094
8463,Sub-Saharan Africa,SSF,1991,410695.876894
8464,Small states,SST,1991,114175.732764
8465,Sao Tome and Principe,STP,1991,46.5
8466,Suriname,SUR,1991,2045.742072
8467,Slovak Republic,SVK,1991,47938.2
8468,Slovenia,SVN,1991,12737.4
8469,Sweden,SWE,1991,54236.3
8470,Eswatini,SWZ,1991,1086.3
8472,Seychelles,SYC,1991,175.2
8473,Syrian Arab Republic,SYR,1991,35766.0
8475,Chad,TCD,1991,397.3
8476,East Asia & Pacific (IDA & IBRD countries),TEA,1991,2710332.24
8477,Europe & Central Asia (IDA & IBRD countries),TEC,1991,4240031.740692
8478,Togo,TGO,1991,925.5
8479,Thailand,THA,1991,96403.4
8480,Tajikistan,TJK,1991,10171.7
8481,Turkmenistan,TKM,1991,37788.5
8482,Latin America & the Caribbean (IDA & IBRD countries),TLA,1991,885764.742072
8484,Middle East & North Africa (IDA & IBRD countries),TMN,1991,548964.99
8485,Tonga,TON,1991,90.4
8486,South Asia (IDA & IBRD),TSA,1991,685811.98
8487,Sub-Saharan Africa (IDA & IBRD countries),TSS,1991,410695.876894
8488,Trinidad and Tobago,TTO,1991,13045.1
8489,Tunisia,TUN,1991,15206.3
8490,Turkiye,TUR,1991,143796.1
8491,Tuvalu,TUV,1991,6.7
8492,Tanzania,TZA,1991,1865.7
8493,Uganda,UGA,1991,806.39
8494,Ukraine,UKR,1991,651932.0
8495,Upper middle income,UMC,1991,6627839.492764
8496,Uruguay,URY,1991,4371.7
8497,United States,USA,1991,4807496.5
8498,Uzbekistan,UZB,1991,118584.8
8499,St. Vincent and the Grenadines,VCT,1991,89.1
8500,"Venezuela, RB",VEN,1991,100992.8
8503,Vietnam,VNM,1991,19796.6
8504,Vanuatu,VUT,1991,66.9
8505,World,WLD,1991,21440490.2
8506,Samoa,WSM,1991,97.7
8508,"Yemen, Rep.",YEM,1991,8498.5
8509,South Africa,ZAF,1991,242286.0
8510,Zambia,ZMB,1991,2876.2
8511,Zimbabwe,ZWE,1991,18301.0
8513,Africa Eastern and Southern,AFE,1992,296834.691723
8514,Afghanistan,AFG,1992,1525.47
8515,Africa Western and Central,AFW,1992,121628.003
8516,Angola,AGO,1992,6877.3
8517,Albania,ALB,1992,2239.3
8518,Andorra,AND,1992,406.704
8519,Arab World,ARB,1992,688969.38
8520,United Arab Emirates,ARE,1992,59702.8
8521,Argentina,ARG,1992,107921.1
8522,Armenia,ARM,1992,10755.96
8524,Antigua and Barbuda,ATG,1992,218.5
8525,Australia,AUS,1992,268366.5
8526,Austria,AUT,1992,57668.0
8527,Azerbaijan,AZE,1992,63613.2
8528,Burundi,BDI,1992,201.2
8529,Belgium,BEL,1992,112329.3
8530,Benin,BEN,1992,282.61
8531,Burkina Faso,BFA,1992,610.8
8532,Bangladesh,BGD,1992,11823.48
8533,Bulgaria,BGR,1992,55364.1
8534,Bahrain,BHR,1992,12272.25
8535,"Bahamas, The",BHS,1992,1952.5
8536,Bosnia and Herzegovina,BIH,1992,15966.67
8537,Belarus,BLR,1992,87748.6
8538,Belize,BLZ,1992,382.5
8540,Bolivia,BOL,1992,11173.7
8541,Brazil,BRA,1992,207865.4
8542,Barbados,BRB,1992,925.75
8543,Brunei Darussalam,BRN,1992,3585.4
8544,Bhutan,BTN,1992,205.11
8545,Botswana,BWA,1992,3298.3
8546,Central African Republic,CAF,1992,151.5
8547,Canada,CAN,1992,426367.3
8548,Central Europe and the Baltics,CEB,1992,850698.7
8549,Switzerland,CHE,1992,45702.6
8551,Chile,CHL,1992,30346.9
8552,China,CHN,1992,2418175.3
8553,Cote d'Ivoire,CIV,1992,2772.1
8554,Cameroon,CMR,1992,6846.8
8555,"Congo, Dem. Rep.",COD,1992,1482.42
8556,"Congo, Rep.",COG,1992,3128.17
8557,Colombia,COL,1992,53199.4
8558,Comoros,COM,1992,70.3
8559,Cabo Verde,CPV,1992,182.9
8560,Costa Rica,CRI,1992,4148.5
8561,Caribbean small states,CSS,1992,28528.882047
8562,Cuba,CUB,1992,21771.8
8565,Cyprus,CYP,1992,5479.7
8566,Czechia,CZE,1992,136842.4
8567,Germany,DEU,1992,892817.4
8568,Djibouti,DJI,1992,304.5
8569,Dominica,DMA,1992,62.8
8570,Denmark,DNK,1992,56970.3
8571,Dominican Republic,DOM,1992,9620.4
8572,Algeria,DZA,1992,66844.6
8573,East Asia & Pacific (excluding high income),EAP,1992,2950892.095028
8574,Early-demographic dividend,EAR,1992,2812697.397075
8575,East Asia & Pacific,EAS,1992,4690840.495028
8576,Europe & Central Asia (excluding high income),ECA,1992,3506475.403865
8577,Europe & Central Asia,ECS,1992,7499646.758356
8578,Ecuador,ECU,1992,16845.2
8579,"Egypt, Arab Rep.",EGY,1992,90903.6
8580,Euro area,EMU,1992,2565850.1
8581,Eritrea,ERI,1992,435.7
8582,Spain,ESP,1992,232369.6
8583,Estonia,EST,1992,23010.6
8584,Ethiopia,ETH,1992,1517.2
8585,European Union,EUU,1992,3414360.0
8586,Fragile and conflict affected situations,FCS,1992,964972.850723
8587,Finland,FIN,1992,52280.5
8588,Fiji,FJI,1992,758.35
8589,France,FRA,1992,368655.7
8591,"Micronesia, Fed. Sts.",FSM,1992,140.1
8592,Gabon,GAB,1992,4531.88
8593,United Kingdom,GBR,1992,557885.6
8594,Georgia,GEO,1992,20072.9
8595,Ghana,GHA,1992,2657.6
8597,Guinea,GIN,1992,1055.3
8598,"Gambia, The",GMB,1992,198.1
8599,Guinea-Bissau,GNB,1992,177.6
8600,Equatorial Guinea,GNQ,1992,901.9
8601,Greece,GRC,1992,78176.9
8602,Grenada,GRD,1992,125.5
8604,Guatemala,GTM,1992,4834.9
8606,Guyana,GUY,1992,1080.7
8607,High income,HIC,1992,11461159.154491
8609,Honduras,HND,1992,2734.2
8610,Heavily indebted poor countries (HIPC),HPC,1992,61682.293
8611,Croatia,HRV,1992,15031.2
8612,Haiti,HTI,1992,901.01
8613,Hungary,HUN,1992,58001.9
8614,IBRD only,IBD,1992,9027596.935912
8615,IDA & IBRD total,IBT,1992,9471676.055663
8616,IDA total,IDA,1992,444079.119751
8617,IDA blend,IDB,1992,310019.92
8618,Indonesia,IDN,1992,171415.6
8619,IDA only,IDX,1992,134059.199751
8621,India,IND,1992,626293.3
8623,Ireland,IRL,1992,31505.4
8624,"Iran, Islamic Rep.",IRN,1992,233650.9
8625,Iraq,IRQ,1992,67338.2
8626,Iceland,ISL,1992,1944.8
8627,Israel,ISR,1992,36857.3
8628,Italy,ITA,1992,402274.3
8629,Jamaica,JAM,1992,8148.5
8630,Jordan,JOR,1992,11925.3
8631,Japan,JPN,1992,1115035.1
8632,Kazakhstan,KAZ,1992,253841.7
8633,Kenya,KEN,1992,6088.8
8634,Kyrgyz Republic,KGZ,1992,13764.1
8635,Cambodia,KHM,1992,1348.352
8636,Kiribati,KIR,1992,25.2
8637,St. Kitts and Nevis,KNA,1992,117.5
8638,"Korea, Rep.",KOR,1992,297049.9
8639,Kuwait,KWT,1992,23045.8
8640,Latin America & Caribbean (excluding high income),LAC,1992,772884.542047
8641,Lao PDR,LAO,1992,595.573028
8642,Lebanon,LBN,1992,7021.4
8643,Liberia,LBR,1992,402.374
8644,Libya,LBY,1992,26342.3
8645,St. Lucia,LCA,1992,227.2
8646,Latin America & Caribbean,LCN,1992,932183.392047
8647,Least developed countries: UN classification,LDC,1992,66917.499751
8648,Low income,LIC,1992,162884.604723
8649,Liechtenstein,LIE,1992,206.950491
8650,Sri Lanka,LKA,1992,5248.3
8651,Lower middle income,LMC,1992,2127063.985028
8652,Low & middle income,LMY,1992,8951857.255663
8653,Lesotho,LSO,1992,1503.0
8654,Late-demographic dividend,LTE,1992,6287917.303865
8655,Lithuania,LTU,1992,19998.0
8656,Luxembourg,LUX,1992,11435.5
8657,Latvia,LVA,1992,13974.8
8660,Morocco,MAR,1992,24879.0
8662,Moldova,MDA,1992,20322.2
8663,Madagascar,MDG,1992,964.66
8664,Maldives,MDV,1992,225.1
8665,Middle East & North Africa,MEA,1992,955464.75
8666,Mexico,MEX,1992,291682.5
8667,Marshall Islands,MHL,1992,80.2
8668,Middle income,MIC,1992,8788972.65094
8669,North Macedonia,MKD,1992,8332.4
8670,Mali,MLI,1992,477.186
8671,Malta,MLT,1992,2169.1
8672,Myanmar,MMR,1992,4278.2
8673,Middle East & North Africa (excluding high income),MNA,1992,589786.0
8674,Montenegro,MNE,1992,1483.273865
8675,Mongolia,MNG,1992,12858.42
8677,Mozambique,MOZ,1992,1097.38
8678,Mauritania,MRT,1992,896.7
8679,Mauritius,MUS,1992,1323.3
8680,Malawi,MWI,1992,792.69
8681,Malaysia,MYS,1992,67174.7
8682,North America,NAC,1992,5305993.4
8683,Namibia,NAM,1992,1218.1
8685,Niger,NER,1992,499.783
8686,Nigeria,NGA,1992,91806.4
8687,Nicaragua,NIC,1992,2235.4
8688,Netherlands,NLD,1992,156009.7
8689,Norway,NOR,1992,30197.9
8690,Nepal,NPL,1992,1234.16
8691,Nauru,NRU,1992,120.6
8692,New Zealand,NZL,1992,24380.0
8693,OECD members,OED,1992,11422717.8
8694,Oman,OMN,1992,14922.2
8695,Other small states,OSS,1992,79892.513865
8696,Pakistan,PAK,1992,66977.8
